Year,Mean cumulative mass balance,Number of observations
1945,0.0,0.0
1946,-1.13,1.0
1947,-3.19,1.0
1948,-3.19,1.0
1949,-3.82,3.0
1950,-4.887,3.0
1951,-5.2170000000000005,3.0
1952,-5.707000000000001,3.0
1953,-6.341,7.0
1954,-6.825,6.0
1955,-6.575,7.0
1956,-6.814,7.0
1957,-6.989,9.0
1958,-7.693,9.0
1959,-8.325,11.0
1960,-8.687999999999999,14.0
1961,-8.935,15.0
1962,-9.109,20.0
1963,-9.567,22.0
1964,-9.699,22.0
1965,-9.298,24.0
1966,-9.436,27.0
1967,-9.302999999999999,29.0
1968,-9.219,31.0
1969,-9.732000000000001,31.0
1970,-10.128,32.0
1971,-10.288,32.0
1972,-10.440999999999999,32.0
1973,-10.538,32.0
1974,-10.613,32.0
1975,-10.534,33.0
1976,-10.633,35.0
1977,-10.682,37.0
1978,-10.754000000000001,37.0
1979,-11.127,37.0
1980,-11.318,36.0
1981,-11.394,35.0
1982,-11.849,36.0
1983,-11.845999999999998,37.0
1984,-11.902000000000001,37.0
1985,-12.238,37.0
1986,-12.782,37.0
1987,-12.795,37.0
1988,-13.26,37.0
1989,-13.343,37.0
1990,-13.687000000000001,37.0
1991,-14.255,37.0
1992,-14.501,36.0
1993,-14.695,37.0
1994,-15.276,37.0
1995,-15.485999999999999,37.0
1996,-15.89,37.0
1997,-16.487000000000002,37.0
1998,-17.31,37.0
1999,-17.697,37.0
2000,-17.727,37.0
2001,-18.032,37.0
2002,-18.726,37.0
2003,-19.984,37.0
2004,-20.703000000000003,37.0
2005,-21.405,37.0
2006,-22.595,37.0
2007,-23.255,37.0
2008,-23.776,37.0
2009,-24.459,37.0
2010,-25.158,37.0
2011,-26.294,37.0
2012,-26.93,36.0
2013,-27.816999999999997,31.0
2014,-28.651999999999997,24.0
