temperature,glacier
18.860908298610884,0.0
18.979834030899582,-1.13
19.099852510502107,-3.19
18.814000069240656,-3.19
18.77398257253528,-3.82
18.64122752411618,-4.887
18.828872406676364,-5.2170000000000005
18.863827109609957,-5.707000000000002
18.905884162966803,-6.341
18.634381742668058,-6.825
18.714421853319497,-6.575
18.346682572593373,-6.814
18.8142417009917,-6.989
19.001528354132777,-7.693
18.875804633493768,-8.325
18.942358575369287,-8.687999999999999
18.97373340234025,-8.935
18.75153769007469,-9.109
18.732457468543583,-9.567
18.635195366522826,-9.699
18.574126901987547,-9.298
18.92673547707054,-9.436
18.68711722023651,-9.303
18.661557399551853,-9.219
18.82900760712863,-9.732
18.853670124356853,-10.128
18.642001037597517,-10.288
18.7166791147303,-10.441
18.925887620937758,-10.538
18.680677731834027,-10.613
18.794416320970953,-10.534
18.538832641692945,-10.633
18.979368602879678,-10.682
18.788234439701245,-10.754
18.968066735692933,-11.127
18.910738934800825,-11.318
18.973640041464726,-11.394
18.906402143921156,-11.849
19.147819847879653,-11.845999999999998
18.816953319277996,-11.902
18.7623340246556,-12.238
18.858417703809124,-12.782
19.114666320763476,-12.795
19.166077454925308,-13.26
19.10576002780914,-13.343
19.367878284614104,-13.687
19.063549446659763,-14.255
19.022586790838155,-14.501
18.984841286502085,-14.695
19.307105117431526,-15.276
19.32128907325312,-15.486
19.0153125863195,-15.89
19.302533886954347,-16.487000000000002
19.65385995845641,-17.31
19.444498271124473,-17.697
19.399267980485472,-17.727
19.479344052531133,-18.032
19.618487897871393,-18.726
19.579865490713694,-19.984
19.47563312607053,-20.703000000000007
19.552600622539412,-21.405
19.59074723373029,-22.595
19.662599239261407,-23.255
19.47347095457261,-23.776
19.600565006709544,-24.459
19.69108367939419,-25.158
19.507016597701234,-26.294
19.524365836742753,-26.93
19.907416032680498,-27.817
