temperature,sea_level
18.984841286502085,1.408333333
19.307105117431526,2.733333333
19.32128907325312,5.75
19.0153125863195,11.34166667
19.302533886954347,16.05
19.65385995845641,21.93333333
19.444498271124473,22.09166667
19.399267980485472,24.95833333
19.479344052531133,29.61666667
19.618487897871393,33.325
19.579865490713694,35.35
19.47563312607053,37.60833333
19.552600622539412,41.375
19.59074723373029,42.93333333
19.662599239261407,43.2
19.47347095457261,48.56666667
19.600565006709544,53.53333333
19.69108367939419,54.88333333
19.507016597701234,54.61666667
19.524365836742753,65.39166667
19.907416032680498,67.86666667
