,year,temp_avg,greenhouse_avg,carbon_avg,forest_avg
0,1990,19.367878284614104,201040.75505434786,114685.55901041666,210984.52849740934
1,1991,19.063549446659763,203025.0655978261,114728.60848958332,210648.28445595855
2,1992,19.022586790838155,208998.17875,113324.22255208333,210334.92176165807
3,1993,18.984841286502085,199766.2442934783,114485.88505208335,210660.73989637304
4,1994,19.307105117431526,203631.09538043477,115181.00692708335,210328.00414507775
5,1995,19.32128907325312,205994.23168478257,117520.20796875,209932.4233160622
6,1996,19.0153125863195,206920.3911956522,121001.69234375002,209494.85854922282
7,1997,19.302533886954347,228909.67652173917,121559.06786458334,209164.41243523316
8,1998,19.65385995845641,232609.21141304352,120745.23296875,208759.65077720204
9,1999,19.444498271124473,215501.14826086958,122102.85796875,208438.46424870472
10,2000,19.399267980485472,213435.59021739126,125613.73401041667,208076.18393782384
11,2001,19.479344052531133,212887.6783152174,126732.24807291666,207871.48134715026
12,2002,19.618487897871393,226815.49364130435,129529.86093750001,207584.3481865285
13,2003,19.579865490713694,234433.67195652175,135804.15260416668,207437.46373056996
14,2004,19.47563312607053,238692.7241304348,141970.80572916666,207246.9212435233
15,2005,19.552600622539412,247101.3263043478,146777.28489583332,207029.62279792747
16,2006,19.59074723373029,254351.94592391304,151629.47567708333,206850.51139896375
17,2007,19.662599239261407,263248.81766304345,155861.08333333334,206529.30207253885
18,2008,19.47347095457261,250683.06010869567,159498.38333333333,206484.39274611397
19,2009,19.600565006709544,247914.3574456522,157442.63541666666,206223.79481865288
20,2010,19.69108367939419,259909.15820652174,165469.01057291665,206067.48704663213
21,2011,19.507016597701234,275246.91402173915,171184.60744791667,207307.96424870464
22,2012,19.524365836742753,275566.49586956523,173990.10729166667,207167.63367875645
